iter	RMSE
0	3.26819569
1	3.225743675
2	3.184498755
3	3.145915178
4	3.110165509
5	3.074924403
6	3.041578655
7	3.009902541
8	2.978693717
9	2.947513839
10	2.919861664
11	2.891441827
12	2.865900269
13	2.84009864
14	2.814969546
15	2.793743995
16	2.771684105
17	2.750790086
18	2.730757213
19	2.711149932
20	2.69158696
21	2.674039868
22	2.657613676
23	2.6417209
24	2.625718586
25	2.611180542
26	2.598952708
27	2.584694637
28	2.570803679
29	2.557964643
30	2.545853493
31	2.533914312
32	2.521523761
33	2.511335623
34	2.500889937
35	2.491424629
36	2.482063063
37	2.472154727
38	2.464767969
39	2.456048409
40	2.448019935
41	2.440775214
42	2.42878132
43	2.420560417
44	2.413049319
45	2.406409709
46	2.399660367
47	2.393455409
48	2.387292277
49	2.381992277
50	2.375285179
51	2.368605636
52	2.359384765
53	2.353950401
54	2.348527077
55	2.34373502
56	2.33631258
57	2.331495962
58	2.325206131
59	2.32082693
60	2.316695496
61	2.312191963
62	2.308401432
63	2.304412407
64	2.299904697
65	2.295223541
66	2.291950945
67	2.288718521
68	2.284593888
69	2.279051234
70	2.275561393
71	2.268298007
72	2.265416906
73	2.262997262
74	2.257365216
75	2.254243365
76	2.248930124
77	2.244232272
78	2.24187174
79	2.23940682
80	2.23709932
81	2.234884035
82	2.232799309
83	2.230200824
84	2.219185205
85	2.216617783
86	2.213122831
87	2.211326768
88	2.209592761
89	2.207832506
90	2.198030364
91	2.18849456
92	2.179128591
93	2.169125839
94	2.16706693
95	2.163711311
96	2.154729069
97	2.153354901
98	2.147377198
99	2.139253739
100	2.137890933
101	2.136753229
102	2.128787792
103	2.126832249
104	2.118633826
105	2.11099085
106	2.104486043
107	2.10334628
108	2.102108825
109	2.093620128
110	2.087629096
111	2.084682501
112	2.08358154
113	2.07658821
114	2.069276722
115	2.063008455
116	2.061939118
117	2.05535652
118	2.05454123
119	2.053573907
120	2.046502568
121	2.045614202
122	2.04291573
123	2.041882635
124	2.040884927
125	2.033305641
126	2.026822509
127	2.025745648
128	2.020076361
129	2.013780767
130	2.012801158
131	2.011919557
132	2.005670969
133	1.999918804
134	1.993687438
135	1.991465995
136	1.986452832
137	1.985724063
138	1.9838299
139	1.98320056
140	1.978454927
141	1.972657994
142	1.970713269
143	1.968279119
144	1.967592858
145	1.96320559
146	1.961277643
147	1.956104439
148	1.950552678
149	1.944486197
150	1.939042008
151	1.937785986
152	1.937157957
153	1.934468003
154	1.929401026
155	1.928673786
156	1.927778049
157	1.923169005
158	1.918686219
159	1.913436859
160	1.909573304
161	1.905671058
162	1.901917402
163	1.900736401
164	1.900282331
165	1.895814445
166	1.889890633
167	1.88648129
168	1.885803733
169	1.883440276
170	1.879452505
171	1.875404236
172	1.874689481
173	1.871474365
174	1.870703492
175	1.870280114
176	1.869782392
177	1.867526722
178	1.864779403
179	1.864316505
180	1.862120986
181	1.860735993
182	1.859706354
183	1.857276748
184	1.856597154
185	1.852705818
186	1.847893321
187	1.844804056
188	1.841134014
189	1.840559873
190	1.840104616
191	1.838713932
192	1.838040653
193	1.833845512
